skill	classification	adapters	inputs_outputs	remaining_blockers
chem-bond-dissociation	prerequisite		SMILES/bond indices and charge/spin -> BDE eV and fragment structures	Charge/spin-qualified checkpoint and Peregrine BDE execution contract absent; both-mode can omit unsupported heterolysis.
chem-conformer-search	prerequisite		SMILES/conformers and force threshold eV/A -> relaxed unique conformers	RDKit exists separately; MLIP relaxation and conformer acceptance not qualified through Peregrine.
chem-db-mof	acquisition		Formula/database filters -> MOF CIF and metadata	Remote QMOF/ARC dataset snapshots not provisioned; ARC records may lack formula so formula filtering is not reliable.
chem-db-qmof	acquisition		Formula or material identifier -> QMOF structures and DFT metadata	API access and immutable database snapshot not qualified; metadata availability is not execution evidence.
chem-db-spectra	acquisition		Formula and spectral modality -> JCAMP spectra	NIST retrieval needs network/provider response fixtures and source snapshot provenance; not a calculation recipe.
chem-dft-orca-advanced-calculation	partial	orca-energy	Normally terminated ORCA text -> final energy Hartree/eV	Parsing decimal final energy is integrated; licensed ORCA execution and arbitrary custom input are not exposed. Orbitals/thermochemistry need format and spin-block validation.
chem-dft-orca-optimization	prerequisite		Molecular geometry charge/spin method -> optimized geometry and eV	SCINE utilities absent from inspected environments and ORCA executable not qualified; no new scientific submission authorized.
chem-dft-orca-singlepoint	prerequisite		Molecular geometry charge/spin method -> energy gradients Hessian	SCINE utilities and ORCA executable not qualified; standalone wrapper bypasses native execution authority.
chem-docking-void	prerequisite		Host/ligand structures -> docked host guest geometry	VOID provider and checkpoint/runtime not qualified; rigid/flexible host assumptions require explicit contract.
chem-hazard-toxicity	acquisition		PubChem compound ID -> GHS/LD50 source evidence	Live PubChem aggregation not qualified; consensus classifications and lowest LD50 are not measured safety conclusions.
chem-irc-verification	prerequisite		TS geometry and displacement -> IRC endpoints energies	Sella plus charge/spin-qualified calculator and Peregrine IRC contract absent.
chem-msms-predict	prerequisite		SMILES ionization collision energy -> fragment spectrum	ICEBERG model/checkpoints and provider environment not provisioned; mass spectrum prediction cannot be fabricated.
